codigo,sexo,casou_alguma_vez,idade,graduado,profissao,experiencia_profissional,pontuacao_gastos,tamanho_familia
462809,Masculino,Nao,22,Nao,Enfermagem,1,Baixa,4
462643,Feminino,Sim,38,Sim,Engenharia,,Media,3
466315,Feminino,Sim,67,Sim,Engenharia,1,Baixa,1
461735,Masculino,Sim,67,Sim,Direito,0,Alta,2
462669,Feminino,Sim,40,Sim,Entretenimento,,Alta,6
461319,Masculino,Sim,56,Nao,Artista,0,Media,2
460156,Masculino,Nao,32,Sim,Enfermagem,1,Baixa,3
464347,Feminino,Nao,33,Sim,Enfermagem,1,Baixa,3
465015,Feminino,Sim,61,Sim,Engenharia,0,Baixa,3
465176,Feminino,Sim,55,Sim,Artista,1,Media,4
464041,Feminino,Nao,26,Sim,Engenharia,1,Baixa,3
464942,Masculino,Nao,19,Nao,Enfermagem,4,Baixa,4
461230,Feminino,Nao,19,Nao,Empreendedorismo,0,Baixa,
459573,Masculino,Sim,70,Nao,Direito,,Baixa,1
460849,Feminino,Sim,58,Nao,Medicina,0,Baixa,1
460563,Feminino,Nao,41,Nao,Enfermagem,1,Baixa,2
466865,Feminino,Nao,32,Nao,Responsavel pela Casa,9,Baixa,5
461644,Masculino,Nao,31,Nao,Enfermagem,1,Baixa,6
466772,Masculino,Sim,58,Sim,Entretenimento,1,Media,4
464291,Feminino,Sim,79,Sim,Artista,0,Alta,1
466084,Masculino,Sim,49,Sim,Responsavel pela Casa,12,Baixa,1
459675,Feminino,Nao,18,Nao,Enfermagem,3,Baixa,4
465602,Masculino,Sim,33,Sim,Artista,13,Baixa,2
459168,Feminino,Nao,36,Sim,Artista,5,Baixa,2
461021,Feminino,,58,Nao,Empreendedorismo,1,Media,3
465083,Masculino,Sim,56,Nao,Artista,1,Media,3
467604,Masculino,Nao,31,Nao,Enfermagem,9,Baixa,8
459717,Masculino,Sim,49,Sim,Artista,1,Media,3
465882,Masculino,Nao,35,Sim,Artista,0,Baixa,1
461996,Feminino,Nao,35,Nao,Artista,5,Baixa,4
463331,Feminino,Sim,45,Sim,Artista,0,Baixa,3
462216,Feminino,Sim,42,Nao,Medicina,1,Baixa,2
