codigo,sexo,casou_alguma_vez,idade,graduado,profissao,experiencia_profissional,pontuacao_gastos,tamanho_familia,v1
458989,Feminino,Sim,36,Sim,Engenharia,0.0,Baixa,1.0,Cat_6
458994,Masculino,Sim,37,Sim,Enfermagem,8.0,Média,4.0,Cat_6
458996,Feminino,Sim,69,Não,,0.0,Baixa,1.0,Cat_6
459000,Masculino,Sim,59,Não,Empreendedorismo,11.0,Alta,2.0,Cat_6
459001,Feminino,Não,19,Não,Marketing,,Baixa,4.0,Cat_6
459003,Masculino,Sim,47,Sim,Medicina,0.0,Alta,5.0,Cat_4
459005,Masculino,Sim,61,Sim,Medicina,5.0,Baixa,3.0,Cat_6
459008,Feminino,Sim,47,Sim,Artista,1.0,Média,3.0,Cat_6
459013,Masculino,Sim,50,Sim,Artista,2.0,Média,4.0,Cat_6
459014,Masculino,Não,19,Não,Enfermagem,0.0,Baixa,4.0,Cat_6
459015,Masculino,Não,22,Não,Enfermagem,0.0,Baixa,3.0,Cat_6
459016,Feminino,Não,22,Não,Enfermagem,0.0,Baixa,6.0,Cat_6
459024,Masculino,Sim,50,Sim,Artista,1.0,Média,5.0,Cat_6
459026,Masculino,Não,27,Não,Enfermagem,8.0,Baixa,3.0,Cat_3
459032,Masculino,Não,18,Não,Medicina,0.0,Baixa,3.0,Cat_6
459033,Feminino,Sim,61,Sim,Artista,0.0,Baixa,1.0,Cat_6
459036,Feminino,Sim,20,Sim,Direito,1.0,Média,3.0,Cat_3
459039,Masculino,Sim,45,Sim,Artista,1.0,Média,2.0,Cat_6
459041,Masculino,Sim,55,Sim,Artista,8.0,Baixa,1.0,Cat_6
459045,Feminino,Sim,88,Sim,Direito,1.0,Média,4.0,Cat_6
459056,Masculino,Sim,63,Não,Empreendedorismo,,Alta,3.0,Cat_6
459057,Masculino,Sim,69,Não,Direito,,Alta,,Cat_6
459058,Masculino,Não,42,Sim,Artista,0.0,Baixa,4.0,Cat_3
459059,Masculino,Sim,79,Não,Empreendedorismo,,Alta,2.0,Cat_6
459061,Feminino,Sim,35,Sim,Enfermagem,9.0,Alta,3.0,Cat_6
459064,Masculino,Sim,27,Não,Empreendedorismo,5.0,Alta,4.0,Cat_6
459065,Masculino,Sim,52,Sim,Engenharia,,Baixa,2.0,Cat_6
459074,Feminino,Não,29,Sim,Enfermagem,0.0,Baixa,4.0,Cat_4
459077,Feminino,Sim,79,Não,Direito,1.0,Alta,2.0,Cat_6
459079,Masculino,Sim,87,Sim,Direito,,Alta,2.0,Cat_6
459080,Masculino,Sim,89,Não,Direito,1.0,Baixa,2.0,Cat_6
459083,Masculino,Sim,63,Sim,Artista,9.0,Média,3.0,
459090,Masculino,Não,31,Não,Artista,1.0,Baixa,2.0,Cat_6
459091,Masculino,Sim,72,Sim,Artista,1.0,Média,6.0,Cat_1
459093,Feminino,Sim,41,Sim,Medicina,9.0,Média,2.0,
459100,Feminino,Não,61,Sim,Artista,11.0,Baixa,1.0,Cat_6
459106,Masculino,Sim,62,Sim,Artista,0.0,Baixa,2.0,Cat_6
459114,Masculino,Sim,56,Sim,Artista,1.0,Média,2.0,Cat_6
459116,Masculino,Sim,60,Sim,Artista,2.0,Média,5.0,Cat_6
459117,Masculino,Sim,68,Sim,Artista,0.0,Alta,2.0,Cat_6
459118,Masculino,Não,19,Não,Enfermagem,,Baixa,8.0,Cat_6
459119,Masculino,Sim,57,Sim,Empreendedorismo,8.0,Alta,3.0,Cat_6
459120,Masculino,Não,19,Não,Enfermagem,5.0,Baixa,5.0,Cat_2
