codigo,sexo,casou_alguma_vez,idade,graduado,profissao,experiencia_profissional,pontuacao_gastos,tamanho_familia,v1,segmentacao
462809,Masculino,Não,22,Não,Enfermagem,1.0,Baixa,4.0,Cat_4,D
462643,Feminino,Sim,38,Sim,Engenharia,,Média,3.0,Cat_4,A
466315,Feminino,Sim,67,Sim,Engenharia,1.0,Baixa,1.0,Cat_6,B
461735,Masculino,Sim,67,Sim,Direito,0.0,Alta,2.0,Cat_6,B
462669,Feminino,Sim,40,Sim,Entretenimento,,Alta,6.0,Cat_6,A
461319,Masculino,Sim,56,Não,Artista,0.0,Média,2.0,Cat_6,C
460156,Masculino,Não,32,Sim,Enfermagem,1.0,Baixa,3.0,Cat_6,C
464347,Feminino,Não,33,Sim,Enfermagem,1.0,Baixa,3.0,Cat_6,D
465015,Feminino,Sim,61,Sim,Engenharia,0.0,Baixa,3.0,Cat_7,D
465176,Feminino,Sim,55,Sim,Artista,1.0,Média,4.0,Cat_6,C
464041,Feminino,Não,26,Sim,Engenharia,1.0,Baixa,3.0,Cat_6,A
464942,Masculino,Não,19,Não,Enfermagem,4.0,Baixa,4.0,Cat_4,D
461230,Feminino,Não,19,Não,Empreendedorismo,0.0,Baixa,,Cat_3,D
459573,Masculino,Sim,70,Não,Direito,,Baixa,1.0,Cat_6,A
460849,Feminino,Sim,58,Não,Medicina,0.0,Baixa,1.0,Cat_3,B
460563,Feminino,Não,41,Não,Enfermagem,1.0,Baixa,2.0,Cat_1,C
466865,Feminino,Não,32,Não,Responsável pela Casa,9.0,Baixa,5.0,Cat_3,D
461644,Masculino,Não,31,Não,Enfermagem,1.0,Baixa,6.0,Cat_6,B
466772,Masculino,Sim,58,Sim,Entretenimento,1.0,Média,4.0,Cat_6,B
464291,Feminino,Sim,79,Sim,Artista,0.0,Alta,1.0,Cat_6,C
466084,Masculino,Sim,49,Sim,Responsável pela Casa,12.0,Baixa,1.0,Cat_3,A
459675,Feminino,Não,18,Não,Enfermagem,3.0,Baixa,4.0,Cat_6,D
465602,Masculino,Sim,33,Sim,Artista,13.0,Baixa,2.0,Cat_3,A
459168,Feminino,Não,36,Sim,Artista,5.0,Baixa,2.0,Cat_6,B
461021,Feminino,,58,Não,Empreendedorismo,1.0,Média,3.0,Cat_3,B
465083,Masculino,Sim,56,Não,Artista,1.0,Média,3.0,Cat_6,C
467604,Masculino,Não,31,Não,Enfermagem,9.0,Baixa,8.0,Cat_4,A
459717,Masculino,Sim,49,Sim,Artista,1.0,Média,3.0,Cat_6,C
465882,Masculino,Não,35,Sim,Artista,0.0,Baixa,1.0,Cat_6,B
461996,Feminino,Não,35,Não,Artista,5.0,Baixa,4.0,Cat_6,C
463331,Feminino,Sim,45,Sim,Artista,0.0,Baixa,3.0,Cat_6,C
462216,Feminino,Sim,42,Não,Medicina,1.0,Baixa,2.0,Cat_4,A
462454,Masculino,Não,19,Não,Enfermagem,1.0,Baixa,3.0,Cat_2,D
467010,Masculino,Não,26,Não,Responsável pela Casa,9.0,Baixa,,Cat_6,D
459861,Feminino,Sim,83,Não,Direito,1.0,Alta,2.0,Cat_6,D
467917,Feminino,Não,27,Sim,Enfermagem,3.0,Baixa,4.0,Cat_1,D
465572,Masculino,Não,32,Não,Medicina,5.0,Baixa,1.0,Cat_4,D
460593,Feminino,Sim,28,Não,Enfermagem,1.0,Média,5.0,Cat_3,D
465891,Feminino,Sim,28,Sim,Artista,8.0,Baixa,2.0,Cat_6,A
467442,Masculino,Sim,56,Sim,Artista,,Média,2.0,Cat_6,C
462044,Feminino,Não,47,Sim,Artista,4.0,Baixa,1.0,Cat_6,B
465686,Feminino,Não,22,Não,Enfermagem,0.0,Baixa,2.0,Cat_6,D
464590,Feminino,Não,27,Sim,Artista,14.0,Baixa,3.0,Cat_6,A
466006,Feminino,Sim,49,Sim,Artista,1.0,Baixa,2.0,,C
466152,Masculino,Sim,40,Não,Engenharia,8.0,Baixa,1.0,Cat_6,A
463156,Feminino,Sim,79,Não,Direito,,Alta,2.0,Cat_6,A
465729,Masculino,Sim,41,Sim,Artista,0.0,Média,4.0,Cat_4,B
462384,Feminino,Não,29,Sim,Enfermagem,,Baixa,1.0,Cat_7,A
462442,Masculino,Não,19,Não,Enfermagem,0.0,Baixa,4.0,Cat_6,D
464191,Feminino,Não,45,Sim,Engenharia,1.0,Baixa,1.0,Cat_6,A
462078,Feminino,Sim,61,Não,Artista,1.0,Média,2.0,Cat_2,B
467873,Feminino,Sim,36,Sim,Artista,1.0,Média,2.0,Cat_6,C
461270,Masculino,Sim,40,Sim,Artista,1.0,Baixa,1.0,Cat_3,A
462960,Feminino,Sim,57,Sim,Entretenimento,0.0,Média,2.0,Cat_6,C
464961,Masculino,Sim,76,Não,Marketing,1.0,Baixa,1.0,Cat_4,A
462110,Masculino,Sim,32,Sim,Artista,14.0,Média,2.0,Cat_6,B
465769,Masculino,Não,25,Sim,Enfermagem,9.0,Baixa,4.0,Cat_6,D
462267,Masculino,Não,32,,Medicina,8.0,Baixa,2.0,Cat_6,D
465269,Feminino,Sim,45,Sim,Artista,1.0,Média,3.0,Cat_3,C
460881,Masculino,Sim,72,Sim,Direito,1.0,Baixa,,Cat_4,D
461891,Masculino,Sim,48,Sim,Artista,0.0,Média,2.0,Cat_6,C
466935,Masculino,Sim,55,Sim,Artista,9.0,Média,2.0,Cat_1,C
464091,Masculino,Sim,74,Sim,Direito,0.0,Alta,3.0,Cat_6,D
464535,Masculino,Sim,56,Sim,Direito,1.0,Alta,2.0,Cat_6,A
463108,Masculino,Sim,59,Sim,Direito,7.0,Alta,2.0,Cat_6,A
461356,Masculino,Não,25,Sim,Entretenimento,0.0,Baixa,2.0,Cat_6,A
464570,Masculino,Sim,31,Sim,Medicina,0.0,Média,2.0,Cat_6,A
464580,Masculino,Não,27,Não,Artista,8.0,Baixa,4.0,Cat_6,A
465233,Masculino,Sim,57,Sim,Artista,0.0,Média,4.0,Cat_6,B
467208,Feminino,Sim,39,Sim,Responsável pela Casa,,Alta,2.0,Cat_6,A
459954,Masculino,Sim,27,Sim,Enfermagem,8.0,Baixa,2.0,Cat_6,D
460219,Feminino,Sim,51,Sim,Entretenimento,8.0,Média,2.0,Cat_6,A
460877,Feminino,Sim,47,Não,Artista,0.0,Média,5.0,Cat_6,B
460191,Feminino,Não,33,Não,Enfermagem,8.0,Baixa,4.0,Cat_6,D
463742,Masculino,Sim,56,Sim,Artista,0.0,Média,4.0,Cat_6,C
